Date,ExchangeRate,DBSPrice
16/7/24,1.344,37.36
15/7/24,1.3437,37.9
12/7/24,1.3408,37.93
11/7/24,1.3424,38.38
10/7/24,1.3486,38.15
9/7/24,1.3505,37.4
8/7/24,1.3497,37.18
5/7/24,1.3484,37.42
4/7/24,1.3517,37.98
3/7/24,1.3536,37.96
2/7/24,1.3557,37.1
1/7/24,1.3575,36.12
28/6/24,1.3554,35.79
27/6/24,1.3583,36.05
26/6/24,1.3582,35.69
25/6/24,1.3544,35.65
24/6/24,1.3526,35.54
21/6/24,1.3546,35.45
20/6/24,1.3543,35.47
19/6/24,1.3504,35.47
18/6/24,1.3508,35.5
14/6/24,1.3528,35.48
13/6/24,1.3506,35.84
12/6/24,1.3468,35.65
11/6/24,1.3527,35.55
10/6/24,1.3523,35.63
7/6/24,1.3515,35.52
6/6/24,1.3457,35.5
5/6/24,1.3485,35.36
4/6/24,1.3465,35.83
3/6/24,1.3456,36.07
31/5/24,1.351,35.99
30/5/24,1.35,35.62
29/5/24,1.3515,35.69
28/5/24,1.3487,35.78
27/5/24,1.3493,35.85
24/5/24,1.3495,35.87
23/5/24,1.3514,35.85
21/5/24,1.347,35.68
20/5/24,1.3473,35.8
17/5/24,1.3454,35.7
16/5/24,1.3458,35.55
15/5/24,1.3451,35.31
14/5/24,1.3516,35.46
13/5/24,1.3532,35.37
10/5/24,1.3541,35.4
9/5/24,1.3522,35.28
8/5/24,1.3554,35.71
7/5/24,1.354,35.93
6/5/24,1.3509,35.81
3/5/24,1.3494,35.64
2/5/24,1.3543,35.55
30/4/24,1.3653,34.9
29/4/24,1.3595,34.78
26/4/24,1.3625,34.42
25/4/24,1.359,34.45
24/4/24,1.3618,34.38
23/4/24,1.361,34.62
22/4/24,1.3619,34.07
19/4/24,1.3614,33.1
18/4/24,1.362,33.14
17/4/24,1.3604,32.7
16/4/24,1.365,32.31
15/4/24,1.3623,32.4
12/4/24,1.3613,32.84
11/4/24,1.3525,32.73
9/4/24,1.3444,32.54
8/4/24,1.3473,32.32
5/4/24,1.3487,32.27
4/4/24,1.3483,33.02
3/4/24,1.3478,32.81
2/4/24,1.3513,32.91
1/4/24,1.3523,32.65
28/3/24,1.35,32.75
27/3/24,1.3476,33.3
26/3/24,1.3456,32.8
25/3/24,1.3456,32.27
22/3/24,1.3483,32.57
21/3/24,1.3435,32.42
20/3/24,1.3396,31.76
19/3/24,1.3418,31.8
18/3/24,1.3388,31.73
15/3/24,1.3375,31.52
14/3/24,1.3357,31.47
13/3/24,1.332,30.85
12/3/24,1.3321,30.45
11/3/24,1.3303,30.55
8/3/24,1.3314,30.68
7/3/24,1.3331,30.71
6/3/24,1.3387,30.54
5/3/24,1.3425,30.36
4/3/24,1.3431,30.38
1/3/24,1.3441,30.5
29/2/24,1.3456,30.3
28/2/24,1.3459,30.41
27/2/24,1.3438,30.45
26/2/24,1.3441,30.45
23/2/24,1.3433,30.75
22/2/24,1.3427,30.86
21/2/24,1.344,30.86
20/2/24,1.3436,31.06
19/2/24,1.3452,31.03
16/2/24,1.3458,30.79
15/2/24,1.3456,30.3
14/2/24,1.3483,29.61
13/2/24,1.3508,29.54
9/2/24,1.3463,29.58
8/2/24,1.3472,29.51
7/2/24,1.3433,29.5
6/2/24,1.344,28.77
5/2/24,1.347,28.95
2/2/24,1.342,29.29
1/2/24,1.3363,28.94
31/1/24,1.3399,28.98
30/1/24,1.339,28.93
29/1/24,1.3397,28.99
26/1/24,1.3409,29.18
25/1/24,1.3402,29.02
24/1/24,1.3394,28.95
23/1/24,1.3409,28.92
22/1/24,1.3419,29
19/1/24,1.3403,29.14
18/1/24,1.3438,29.01
17/1/24,1.3445,28.94
16/1/24,1.3423,29.4
15/1/24,1.333,29.71
12/1/24,1.3311,29.65
11/1/24,1.3307,29.75
10/1/24,1.3313,29.55
9/1/24,1.3307,29.88
8/1/24,1.3277,29.86
5/1/24,1.3292,29.91
4/1/24,1.329,29.76
3/1/24,1.3287,29.93
2/1/24,1.3261,30.25
29/12/23,1.3191,30.37
28/12/23,1.3202,30.04
27/12/23,1.3199,29.4
26/12/23,1.3233,29
22/12/23,1.3236,29.09
21/12/23,1.3261,28.79
20/12/23,1.3325,28.66
19/12/23,1.3282,28.78
18/12/23,1.3322,28.64
15/12/23,1.3319,28.24
14/12/23,1.3276,28.55
13/12/23,1.333,28.93
12/12/23,1.3413,28.7
11/12/23,1.3435,28.54
8/12/23,1.3418,28.73
7/12/23,1.3391,28.35
6/12/23,1.3418,28.62
5/12/23,1.3411,28.58
4/12/23,1.3376,28.82
1/12/23,1.3333,29
30/11/23,1.3373,28.85
29/11/23,1.3328,28.87
28/11/23,1.331,28.75
27/11/23,1.3367,28.85
24/11/23,1.3395,28.93
23/11/23,1.3404,29.05
22/11/23,1.3416,29.15
21/11/23,1.3382,28.91
20/11/23,1.3378,29.47
17/11/23,1.3427,29.72
16/11/23,1.3471,29.67
15/11/23,1.35,29.47
14/11/23,1.3487,29.64
10/11/23,1.3601,30.15
9/11/23,1.3603,30.33
8/11/23,1.3562,30.3
7/11/23,1.3544,30.74
6/11/23,1.3507,30.68
3/11/23,1.3539,30.26
2/11/23,1.3645,29.69
1/11/23,1.368,30.03
31/10/23,1.3696,29.86
30/10/23,1.3641,29.95
27/10/23,1.3702,30.12
26/10/23,1.3694,30.13
25/10/23,1.3709,30.14
24/10/23,1.3681,30.14
23/10/23,1.3666,30.01
20/10/23,1.372,30.07
19/10/23,1.3724,30.15
18/10/23,1.3732,30.32
17/10/23,1.3679,30.41
16/10/23,1.3673,30.4
13/10/23,1.3685,30.7
12/10/23,1.37,30.91
11/10/23,1.363,30.65
10/10/23,1.3628,30.88
9/10/23,1.365,30.53
6/10/23,1.3649,30.72
5/10/23,1.3666,30.25
4/10/23,1.3719,30.2
3/10/23,1.3729,30.48
2/10/23,1.3729,30.54
29/9/23,1.3652,30.58
28/9/23,1.3658,30.45
27/9/23,1.3725,30.39
26/9/23,1.3686,30.46
25/9/23,1.3661,30.41
22/9/23,1.3644,30.23
21/9/23,1.3664,30.2
20/9/23,1.3652,30.62
19/9/23,1.3646,30.75
18/9/23,1.3632,31.12
15/9/23,1.3632,31.13
14/9/23,1.3635,30.99
13/9/23,1.3609,30.49
12/9/23,1.3603,30.24
11/9/23,1.3604,30.45
8/9/23,1.3647,30.21
7/9/23,1.3655,30.37
6/9/23,1.3634,30.36
5/9/23,1.3612,30.3
4/9/23,1.3546,30.38
31/8/23,1.3511,30.27
30/8/23,1.3494,30.14
29/8/23,1.3493,30.33
28/8/23,1.356,30.2
25/8/23,1.3555,29.91
24/8/23,1.3564,29.83
23/8/23,1.3525,29.82
22/8/23,1.3576,29.69
21/8/23,1.3574,29.56
18/8/23,1.3566,29.75
17/8/23,1.3582,29.79
16/8/23,1.3597,30.09
15/8/23,1.3581,30.26
14/8/23,1.3554,30.51
11/8/23,1.3519,30.56
10/8/23,1.3493,31.12
8/8/23,1.3473,31.18
7/8/23,1.341,31.23
4/8/23,1.3394,31.14
3/8/23,1.3408,30.69
2/8/23,1.341,30.76
1/8/23,1.3362,31.27
31/7/23,1.3294,31.15
28/7/23,1.331,31.15
27/7/23,1.3313,30.69
26/7/23,1.3253,30.15
25/7/23,1.3274,29.77
24/7/23,1.3313,29.49
21/7/23,1.3302,29.76
20/7/23,1.3267,29.59
19/7/23,1.3249,29.76
18/7/23,1.3225,29.57
17/7/23,1.3218,29.52
14/7/23,1.3211,29.08
13/7/23,1.3217,28.97
12/7/23,1.3301,28.19
11/7/23,1.3408,28.19
10/7/23,1.3446,28.1
7/7/23,1.3462,27.88
6/7/23,1.3535,27.92
5/7/23,1.3532,28.37
4/7/23,1.3492,28.56
3/7/23,1.351,28.65
30/6/23,1.352,28.65
28/6/23,1.3526,28.65
27/6/23,1.3489,28.45
26/6/23,1.353,28.7
23/6/23,1.3517,28.57
22/6/23,1.3447,28.93
21/6/23,1.3401,28.5
20/6/23,1.3433,28.32
19/6/23,1.341,28.28
16/6/23,1.3374,28.35
15/6/23,1.3364,28.18
14/6/23,1.3409,28.33
13/6/23,1.3418,28.09
12/6/23,1.3435,28.41
9/6/23,1.3433,28.1
8/6/23,1.3425,28.27
7/6/23,1.3487,28.08
6/6/23,1.3481,28.33
5/6/23,1.3492,28.24
1/6/23,1.3478,27.82
31/5/23,1.3516,27.55
30/5/23,1.3501,28.48
29/5/23,1.3535,28.61
26/5/23,1.352,28.75
25/5/23,1.3543,28.74
24/5/23,1.3495,28.55
23/5/23,1.3472,28.63
22/5/23,1.3463,28.1
19/5/23,1.3445,28.03
18/5/23,1.3474,27.67
17/5/23,1.3416,27.79
16/5/23,1.3402,28.15
15/5/23,1.336,28.15
12/5/23,1.3383,27.87
11/5/23,1.3316,28.27
10/5/23,1.3249,28.75
9/5/23,1.3273,28.82
8/5/23,1.3245,29.05
5/5/23,1.3245,29
4/5/23,1.328,29.21
3/5/23,1.3302,29.28
2/5/23,1.3344,29.95
28/4/23,1.3346,29.84
27/4/23,1.3344,29.78
26/4/23,1.3354,29.73
25/4/23,1.3386,29.92
24/4/23,1.3334,29.88
21/4/23,1.3343,29.66
20/4/23,1.332,29.7
19/4/23,1.3343,29.95
18/4/23,1.3325,29.77
17/4/23,1.334,29.86
14/4/23,1.3297,29.61
13/4/23,1.322,29.56
12/4/23,1.3281,29.38
11/4/23,1.3324,29.52
10/4/23,1.3324,29.45
6/4/23,1.3298,29.89
5/4/23,1.3276,29.83
4/4/23,1.3257,29.82
3/4/23,1.3268,29.52
31/3/23,1.3306,29.55
30/3/23,1.3275,30
29/3/23,1.3292,30.08
28/3/23,1.3273,30.11
27/3/23,1.331,29.96
24/3/23,1.3315,29.88
23/3/23,1.326,29.99
22/3/23,1.3307,30
21/3/23,1.3356,29.47
20/3/23,1.337,28.85
17/3/23,1.3397,29.15
16/3/23,1.3464,29.15
15/3/23,1.3516,29.52
14/3/23,1.3449,28.95
13/3/23,1.346,29.28
10/3/23,1.3489,29.71
9/3/23,1.353,29.99
8/3/23,1.3535,30.19
7/3/23,1.3541,30.3
6/3/23,1.345,30.28
3/3/23,1.3436,30
2/3/23,1.3473,30.04
1/3/23,1.3417,30.45
28/2/23,1.3481,30.6
27/2/23,1.3467,30.75
24/2/23,1.3495,30.8
23/2/23,1.3425,30.75
22/2/23,1.3403,31.04
21/2/23,1.3403,31.22
20/2/23,1.3356,31.27
17/2/23,1.3363,31.36
16/2/23,1.336,31.16
15/2/23,1.3358,31.07
14/2/23,1.3279,31.4
13/2/23,1.3283,31.63
10/2/23,1.33,32.26
9/2/23,1.3254,32.17
8/2/23,1.3259,32.41
7/2/23,1.3242,32.23
6/2/23,1.3275,32.09
3/2/23,1.323,31.79
2/2/23,1.3095,31.41
1/2/23,1.3061,32.07
31/1/23,1.3135,32.05
30/1/23,1.3141,31.95
27/1/23,1.3126,32.21
26/1/23,1.3119,31.97
25/1/23,1.313,31.8
20/1/23,1.3191,30.94
19/1/23,1.3216,30.92
18/1/23,1.3204,31.37
17/1/23,1.3201,31.23
16/1/23,1.321,31.23
13/1/23,1.3191,31.18
12/1/23,1.3215,30.89
11/1/23,1.3304,31.02
10/1/23,1.3312,30.95
9/1/23,1.3303,31.57
6/1/23,1.3346,30.87
5/1/23,1.3452,31.14
4/1/23,1.3408,30.46
3/1/23,1.3447,30.34
30/12/22,1.3398,30.37
29/12/22,1.3434,30.38
28/12/22,1.3497,30.63
27/12/22,1.3473,30.71
23/12/22,1.3517,30.48
22/12/22,1.3529,30.69
21/12/22,1.351,30.63
20/12/22,1.3499,30.63
19/12/22,1.3566,30.54
16/12/22,1.3586,30.3
15/12/22,1.3608,30.41
14/12/22,1.3468,30.52
13/12/22,1.3467,30.53
12/12/22,1.3546,30.11
9/12/22,1.3527,29.9
8/12/22,1.3532,29.86
7/12/22,1.3551,30
6/12/22,1.3584,30.45
5/12/22,1.358,30.89
2/12/22,1.3517,30.87
1/12/22,1.3533,31.3
30/11/22,1.3613,31.51
29/11/22,1.3738,31.3
28/11/22,1.3791,30.85
25/11/22,1.3747,31.12
24/11/22,1.3751,31.34
23/11/22,1.3768,31.66
22/11/22,1.3776,31.86
21/11/22,1.3817,31.57
18/11/22,1.3755,31.83
17/11/22,1.3743,31.89
16/11/22,1.3697,31.4
15/11/22,1.3703,31.5
14/11/22,1.3724,31.22
11/11/22,1.3715,31.15
10/11/22,1.3819,30.93
9/11/22,1.4025,31.05
8/11/22,1.3983,30.97
7/11/22,1.4004,30.83
4/11/22,1.4033,30.87
3/11/22,1.4216,30.63
2/11/22,1.4167,31.11
1/11/22,1.415,30.97
31/10/22,1.4158,30.63
28/10/22,1.4106,30.25
27/10/22,1.4096,29.38
26/10/22,1.4055,29.22
25/10/22,1.4162,29.34
21/10/22,1.4146,29
20/10/22,1.4238,29.27
19/10/22,1.4247,29.42
18/10/22,1.4201,29.1
17/10/22,1.4208,29.03
14/10/22,1.4262,29.63
13/10/22,1.4303,29.22
12/10/22,1.4348,29.96
11/10/22,1.4379,29.83
10/10/22,1.4373,29.72
7/10/22,1.4329,29.97
6/10/22,1.429,30.08
5/10/22,1.4252,29.93
4/10/22,1.4229,29.89
3/10/22,1.4304,29.68
30/9/22,1.4348,29.9
29/9/22,1.4325,29.49
28/9/22,1.4341,29.16
27/9/22,1.4389,29.57
26/9/22,1.4379,29.72
23/9/22,1.4308,29.91
22/9/22,1.4184,30.02
21/9/22,1.417,30.03
20/9/22,1.4097,30.14
19/9/22,1.4075,29.91
16/9/22,1.4055,30.04
15/9/22,1.4087,29.9
14/9/22,1.406,29.84
13/9/22,1.4066,30.11
12/9/22,1.3962,29.99
9/9/22,1.3984,29.88
8/9/22,1.4053,29.54
7/9/22,1.404,28.91
6/9/22,1.4065,29.14
5/9/22,1.4033,29.23
2/9/22,1.4013,29.04
1/9/22,1.4024,29.15
31/8/22,1.3969,29.19
